Account Holder,greeshmitha
Account Number,ACC1761145533500
Current Balance,₹433.0

Date,Type,Amount,Target Account
2025-11-01 04:40:05,transfer,200.0,ACC1761220447319
2025-11-01 04:38:18,withdraw,1000.0,null
2025-11-01 04:31:43,deposit,1234.0,null
2025-10-28 06:52:08,transfer,1000.0,ACC1761220447319
2025-10-28 06:51:17,withdraw,500.0,null
2025-10-24 14:54:04,deposit,1000.0,null
2025-10-23 14:33:04,transfer,1.0,ACC1761155324243
2025-10-23 14:32:52,transfer,120.0,ACC1761155324243
2025-10-23 14:21:37,credit,200.0,ACC1761155324243
2025-10-23 14:03:19,credit,500.0,ACC1761155324243
2025-10-23 13:39:37,transfer,100.0,ACC1761220447319
2025-10-23 13:32:00,transfer,200.0,ACC1761155324243
2025-10-23 13:30:34,deposit,100.0,null

Summary,,,
Total Deposits,₹2334.0
Total Withdrawals,₹1500.0
Total Transfers,₹1621.0
